judul,review,rating
Seru tapi cukup sekali,Perjalanan menuju kampung di gunung merapi menjadi petualangan yang cukup seru... Tapi karena obyek wisata yang cukup terbatas menjadikan petualangan tersebut tidak cukup menarik untuk diulang lagi,3
Merapi,"Jika Anda menyukai alam pegunungan, Merapi menjadi pilihan yang tepat untuk menikmati alam, berolahraga dan menghirup udara segar. Ada banyak pilihan lokasi wisata di sekitarnya juga.",4
Wisata alam,"Kalo yg suka alam, wajib nih dateng ke sini...selain sejuk udaranya..juga bisa lihat2 bekas letusan gunung merapi, naik jeep keliling sekitar nya...😊😉",4
Perjalanan seru berbatu-batu,Seru perjalanan ke merapi ditempuh dengan menggunakan jeep dari desa umbul harjo. Menyewa jeep dari komunitaa jeep untuk perjalanan sampai ke bunker kaliadem sekitar 2 jam perjalanan dengan biaya 1.350.000 per jeep. Muat 4-5 orang. Driver nya cakap mengendarai jeep di jalan berbatu-batu dan sekaligus jadi guide.Berangkat pagi biar ga kepanasan di atas. Akhir pekan banyak yang berjualan makanan dan suvenir. Tp lebih nyaman di hari biasa tidak terlalu ramai. Siap2 bawa masker karena berdebu dan jas hujan buat main air di kali gendol. Seru abis basah-basahan. Jangan lupa bawa baju ganti.,4
Trip Gunung Merapi,"Tempat yang sangat kereeeeeen, udara segar banyak penginapan nyaman. Cocok untuk yang suka trip, banyak penyewaan hardtop untuk berkeliling sekitar wisata merapi... Perjalanan yang menyenangkan dengan orang-orang yang ramah",5
Gunung Merapi yang Indah,"Saya berkunjung ke kawasan Gunung Merapi pada tanggal 24 Juli 2017. Walaupun tidak menjelajah sampai ke atas, rasanya sudah sangat luar biasa. Saya hanya duduk dan menikmati minuman hangat yang banyak dijual di warung-warung sekitar parkir mobil. Disana banyak persewan mobil/motor offroad untuk menjelajah sampai di kaki gunung.",5
jadi tuh guys,kemaren pas ane kesana dalam rangka mendakit bareng temen temen pengalaman yang unik dan menyenangkan,4
menikmati sunrise dari pasar bubrah,"ketika sy mendaki gunung merapi bulan juli via new selo. saya dibuat tkewalahan dengan medanya yang cukup menguras tenaga, waktu itu sy bersama teman dari jogja mendaki pada malam hari, pemandangan cukup indah karna bisa melihat kerlap-kerlip lampu desa selo, indah seperti melihat kelompok kunang-kunang, sekitar pukul 04:15 sy sudah sampai di pos. pasar bubrah dan disinilah sy bersama para pendaki lainya menantikan datangnya matahari. ternyata tak sia-sia perjuangan sy untuk sampai di tempat sy berdiri. karna dari sini sy dapae melihat indahnya matahari terbit berkilauwan warnanya seperti emas, dan dibawahnya kabur mulai menjalar di hutan-hutan yang sekilas kalau sy lihat tampak seperti ombak di tepi pantai yang menggulung. sy tidak akan pernah lupa momen berharga ini.",5
Merapi Tur,"Cukup membayar tiket masuk wilayah Merapi 5000, dan anda akan mengunjungi semua destinasi- destinasi yang ada di kawasan gunung merapi. Setiap destinasi perlu diketahui bahwa memiliki tiket tersendiri pula. Jadi, siapkan uang dan tenaga untuk bisa explore semua kawasan wisata di bawah gunung Merapi ini. ",5
Pendakian Gunung Dahsyat di Jogjakarta !!,"Pendakian Gunung Merapi dimulai didaerah Boyolali tepatnya di Pos New Selo, perjalanan bisa menggunakan kendaraan pribadi atau angkutan umum sampai di desa Selo (Basecamp). Di awali dengan simaksi dan perbekalan yang harus dipersiapkan semaksimal mungkin dan perlu diketahui di Gunung Merapi ""Tidak"" terdapat Sumber Mata Air, maka bawalah Air sesuai dengan kebutuhan dan seberapa lama kalian di Gunung ini. Jarak dari Basecamp ke pintu masuk saja sudah sangat menohok jauhnya, jadi perlu diperhatikan olahraga minimal 1 minggu sebelum perjalanan dimulai agar perjalanan aman. Hindari pendakian dimusim hujan, dikarenakan trek merupakan jalur air yang amat licin dan curam. Dan dipastikan kalian dalam keadaan sehat dan makan cukup selama pendakian dikarenakan trek yang sangat ""Menantang"" dibutuhkan konsentrasi ekstra, karena kanan kiri jalur adalah jurang. Perjalan dari Basecamp sampai Pasar Bubrah bila ditempuh santai dan cuaca baik bisa ditempuh maksimal 8 Jam perjalanan. Hindari pendakian hingga ""Puncak Garuda"" karena trek sangat licin dan sering turun kabut, ini akan mengganggu konsentrasi dan keberanian kalian ""menurut saya"". Sampai di puncak alias bibir kawah Gunung Merapi saja sudah membuat kaki saya gemetar karena kawah yg super WOW dalamnya dan kabut yang selalu menutupi kawah membuat misterius. Bagi perempuan, mohon pertimbangkan pendakian ""jangan"" dilakukan saat menstruasi. Dikarenakan mistis disini cukup kuat, dan terdapat beberapa hal diluar nalar yang saya alami. Mohon diperhatikan jangan berbicara yang kurang sopan, mengeluh atau melamun. Bawa pulang sampahmu, dan jangan tinggalkan apapun selain jejak kaki di Gunung indah penuh kedahsyatan ini.",5
Liburan,Tempat yang wajib dikunjungi kalau mampir ke yogyakarta..kami naik jeep naik ke merapi mengunjungi museum tempat dimana ada barang bekas dulu terkena letusan gunung merapi..kami juga melewati kuburan masal korban letusan gunung merapi..liburan yang seru dan menyenangkan...recomended ya 👍👍👍,4
Subhanallah Keren...,"Subhanallah, pemandangannya sangat indah. Jika berkunjung ke Kalitalang, bisa lihat Gunung Merapi lebih dekat.",4
Tour untuk Mengenal Kedahsyatan Gunung Berapi,Gunung ini sangat terkenal karena sering erupsi dan tidak sedikit yang menjadi korban. Kedahsyatan erupsinya kini dijadikan sumber berkah bagi warganya dengan menyediakan jasa tour dikenal dengan nama Lava Tour. Kita bisa melihat dampak dari erupsi Gunung Merapi disertai tour off-road menggunakan jeep yang bisa memacu adrenaline. Butuh stamina dan persiapan yang baik karena hujan dapat turun sewaktu-waktu.,4
Seru,Sewa jeep disana..seru ..hanya hrus hati2 bila duduk dibelakang dan ada palang besi disamping kita.krn jalannya goyang2 saya terbentur cukup kencang.Saran ..pake masker dan sunblock..Cari jeep yg mantap.jgn lht harga.krn safety go first,4
Merapi nan exotic,Sangat menawan dipagi hari.kebesaran sang pencipta untuk yogyakarta.dengan kesegaran dan kesejukanya membuat ingin selalu berkunjung kesana.apalagi sekarang banyak  dibuka lokasi wisata keluarga di area sana,5
Tour merapi,Sewa jeep seharga 450 ribu kita akan diajak berkeliling lereng merapi..serta menikmati pemandangannya yang indah.Kita juga akan dibawa ke petilasan sang penjaga merapi Mbah Marijan...Jalanan dipenuhi bebatuan jadi siap aja pantat sakit semua waktu naek jeep..hehehehe..Jangan kuatir semua terbayar dengan indahnya lereng merapi..Karena Merapi memang tak pernah ingkar janji..,4
Selalu bikin kangen,"Tiap sisi kaki gunung merapi ini sellu menarik buat saya. Mulai dari New Selo , Cangkringan atau pun Ndeles selalu bikin saya takjub melihat keindahan merapi. Jalur pendakian yang disarankan via New selo dan berakhir di pasar bubrah aja. ",5
Pesona Merapi.,Walaupun cuma sampe pasar bubrah. Nggak nyesel muncak ke salah satu gunung berapi teraktif di dunia ini. Track yang menantang. Pemandangannya yang menawan. Cocok buat kamu yang suka petualangan.,5
Merapi yg istimewa,"istimewa karena terletak di daerah istimewa Yogya (sleman), istimewa karena bisa dilihat langsung dari kota Yogya, istimewa karena memberikan kehidupan bagi masyarakat sekitar dari isi perut bumi yg dikeluarkan, istimewa karena menjadi salah satu tempat rekreasi dan wisata alam di yogya, istimewa karena walaupun pernah ""marah"" di tahun 2010 namun tetap sayang sama kota Yogyakarta, istimewa lagi karena punya kesempatan bisa kesana melihat langsung gunung merapi, ayoookkk ke merapi, dekat koq dari kota yogya, mau ke kaki gunung merapi bisa tinggal sewa jeep durasi 2-3 jam sekitar Rp300-400K saja, bisa puas2 selfie, wefie dll, jagalah kelestarian alam sekitarnya supaya bisa dinikmati oleh generasi penerus kita, salam istimewa",5
Menarik dan udaranya sejuk,Offroad@100rb perorang selama 3jam..dibawa jalan jalan keliling merapi ..driver sekaligus tur guidenya..seru..menyenangkan..,5
wisata alam kaki gunung,"tempat ini sungguh luar biasa, kita bisa melihat jelas gunung merapi. memang jalan untuk menuju lokasi ini masih kurang bagus, tapi saat tiba di lokasi sungguh menakjubkan, pemandangan alam yang luar biasa, udaranya masih segar juga.",4
wisata gunung merapi,"selain gunung merapi yang masih aktif juga wisata menuju gunung merapi yang sangat menakjubkan. salah satu wisata di gunung merapi bisa ke kali adem, menikmati udara yang sejuk. kemudian bisa menikmati gunung merapi lebih dekat",5
Pemandangan Yang Indah,Di sini saya benar menikmati pemandangan yang menakjubkan serta banyak ditemui penginapan dan juga villa selain itu di sini udaranya segar serta dingin.,4
Merapi Volcano Tour,"Luar biasa, sangat indah pemandangan disana. Selain mendapatkan informasi mengenai sejarah Gunung Merapi, kita juga dapat menikmati sejuknya udara dan indahnyan suasana disana.  Untuk Merapi Lava Tour bisa dilakukan dengan memakai mobil Jeep atau Motor Trail. Informasi selengkapnya hubungi +62 89 772 595 17. Instagram: wahyu_travel_indonesia",5
Merapi Lava Tour,Perjalanan yang menarik ke tempat-tempat peninggalan letusan gunung merapi dengan menggunakan jeep. Destinasi wisata yang tepat untuk dikunjungi bersama teman dan keluarga,5
Great,"Kunjungan wisata alam yang menakjubkan.. kita benar2 disuguhkan beragam hal yang berhubungan dengan gunung merapi, musium ada.. dan juga kita bisa menonton bioskop yang masih juga bertema gunung merapi. Ada juga peninggalan2 barang yang terkena letusan gunung merapiKita juga bisa mengelilingi dengan menggunakan jeep.",5
Menarik,"Disini kami menyusuri sisa erupsi merapi,dan menjelajah menggunakan jeep. Sangat menantang utk org yg suka olahraga sport yg menantang. Banyak bangunan yg menjadi sejarah di lokasi ini,dan sangat menarik utk dikunjungi.",5
Sunrise lava tour,mengejar sunrise di punggung merapi. Menikmati petualangan naik jeep melewati jalanan bebatuan untuk melihat matahari terbit dan mengunjungi wilayah pedesaan yang terkena dampak erupsi.,4
Outdoor Jogja,Amazing dengan adanya lava tour untuk mengelilingi kaki kaki gunung merapi. Dengan harga jeep 350rb selama 2 jam bisa dinaikin oleh 4-6orang dengan seru seruan naik jeep sepanjang kaki merapi. Tapi sayangnya gak sampe kawasan makam mbah marijan :(Oiaa ada juga penyewaan trail cuma aku gak tau harga nya berapa.,5
"Stone, Volcano and Leavesly","Gunung berapi yang layak untuk tracking dekat Jogja cocok untuk pemula dengan tinggi 2931mdpl. Pemandang Jogja, Boyolali, Salatiga dan Magelang. Camping and night tracking always sounds good",5
Gunung Merapi Jogjakarta,Dari arah Malioboro anda bisa menyusuri Jalan Kaliurang untuk menuju kawasan Gunung Merapi dengan hawa yang cukup dingin dan sejuk serta segar karena pepohonan yang masih sangat banyak.,5
"Pemandangan yg Luar Biasa Asri, ya Gunung Merapi!","Wisata yg paling seru saat berkunjung ke Yogya salah satunya adalah Jeep Adventure ke Gunung Merapi, pasca musibah Wedus Gembel beberapa tahun lalu saya tertarik ke KaliAdem dimana Bunker para korban ada disana. Didukung petualan jeep dan pemandangan yg bagus. Ingin kesana lagi pokoknya!",4
Merapi tak pernah ingkar janji,"Disini kami menemukan apa arti pertemanan, sekaligus keluarga sederhana yg memiliki karaktek berbeda"" namun bisa kembali kerumah bersma"" ",4
dingin,"Disini tracking nya bagus dekat dengan rumah nenek saya, masih alami namun karena pernah gunung ini pernah meletus jadi banyak tanaman mati.",5
The Lost World,"Jika anda akan ke Gunung Merapi Yogyakarta menghadirkan wisata Adventure, untuk menikmati kekayaan alam dan mensyukuri juga merasa simpatik kepada mereka warga yogyakarta sekitaran merapi yg dulu sempat terkena musibah. ada beberapa tempat unik seperti Batu Alien, The Lost World dan omah merapi yg membuat anda takjud dan bersyukur akan keagungan yg kuasa.",5
Adventure @merapi,Pemandangan yang bagus dapat menghilangkan penat selama bekerja dan dapat menguji adrenalin anda...!,4
Menegangkan tp sedih juga,"Klo ke jogja harus coba tour merapi, kereeeen dan baguuus bgt, awalnyaa takjub seru dan menegangkan, giliran kita ud smpai di museum sisa hartaku, disitu baru berasa sedihnya dan kebesaran sang Ilahi, kita cuma kecil bgt dsna, klo weeken pasti rame, sewa jeep dlu jgn lupa kasih tips buat pemandunyaa, pegangan kuat yg pasti di jeep supaya ga mental hahaha",5
Gunung terindah di DIY dan Jawa Tengah,"Gunung berapi paling aktif di Indonesia. Sangat indah, namun perlu waktu yang tepat untuk kesini. Contohnya jangan kesini saat musim penghujan.",4
Merapi yang Gagah,"jangan lupa untuk main ke lava tour, anda bisa menyewa jeep dan anda akan diajak berkeliling di sisa sisa letusan gunung merapi. ",4
Bucket list,Salah satu spot tourism di Yogyakarta yang wajib didatangi. Ada paket wisata lava tour dengan menggunakan jeep untuk berkeliling area Merapi,5
Gunung yang Menyimpan Keindahan,"Jam yang tepat untuk berkunjung ke Gunung Merapi adalah sekitar jam 07.00 - 09.00 pagi. Karena menjelang siang, matahari cukup terik di sini. Saya berdecak kagum saat datang ke Gunung Merapi. Puncak nya terlihat sangat jelas. Pemandangannya indah sekali. Anda bisa melihat kota Yogyakarta dari sini dengan awan-awan yang cantik. Medan menuju Gunung Merapi cukup berbatu dan menanjak. Anda harus menyewa Jeep yang banyak disewakan di sepanjang jalan atau jika kendaraan anda memadai, anda bisa menuju ke atas dengan selalu berhati-hati. Saya juga sempat diberhentikan oleh warga sekitar, karena untuk menuju ke atas, anda harus menggunakan Jeep atau dipandu dengan warga sekitar. Setelah bernego harga, akhirnya salah seorang Ibu memandu kami sampai di atas. ",4
Exciting naik mobil Jeep,Pengalaman yang tidak terlupakan untuk bisa mencoba Naik Mobil Jeep mendaki ke Gunung merapi. Bisa melihat bekas letusan gunung merapi dan cerita saat terjadinya gunung merapi meletus. Exciting bangetthanks Commlife for the great experience,5
Antara Mistis dan Keindahan,"Gunung Merapi adalah gunung yang sangat legendaris. Di balik diamnya, gunung ini menceritakan banyak sekali mitos dan misteri. Bagi para pendaki, mendaki gunung ini sama artinya dengan memasuki dunia yang penuh misteri itu. Yang menjadi pertimbangan lain kenapa ada beberapa pendaki yang tidak mau mendaki Gunung Merapi adalah banyaknya cerita mistis terkait gunung tersebut. Beberapa tempat di gunung ini memang dipercaya sebagai “sarangnya” makhluk dari dunia lain. Pasar Bubrah, misalnya. Tempat ini dipercaya sebagai pasarnya makhluk halus penghuni Gunung Merapi. Beberapa pendaki pernah mengalami kejadian yang kurang menyenangkan di tempat ini.Namun pada kesempatan itu, saya sendiri pernah mendaki ke puncak gunung tersebut seorang diri. Saya mengawali pendakian pada jam 24.00 WIB dini hari dengan harapan bisa sampai di puncak pada saat matahari terbit dari ufuk timur.",5
JEEP MERAPI TOUR,"Pertama kali ikut jeep merapi tour, kami menggunakan jasa Elang Merapi Adventure..si driver membantu menjelaskan tentang erupsi pada tgl 5 nov 2010, rumah-rumah warga dan harta benda yg telah kena erupsi.pemandangan yg indah,, tetapi karena cukup berawan sehingga merapi tertutup awan.berwisata sekalian belajar sejarah...",5
Gurung merapi yang sangat besar...dan penuh misteri ilahi menguasa alam jagat raya...,Jika anda datang kesana.....tidak akan menyesal.....akan keindahan alamnya......dan janga lupa bawa perlengkapan yang anda butuhkan bersama kelauraga...karena sangat jauh dari pusat perbelanjaan...silakan kunjungi......pemandangan Gunung Merapi....,5
Wiasata gunung merapi,"Gunung merapi amat terkenal mulai jaman dahulu kala, dan salah satu gunung yang terletak di jawa tengah selain keindahan gunung merapi juga merupakan gunung berapi yang masih aktif",5
Trekking to Mt.Merapi summit,"Pendakian dimulai dari desa Selo (bagian utara gunung merapi) pendakian membutuhkan waktu sekitar 4-5jam tergantung stamina pendaki masing masing. Diatas sangat dingin, dengan trek yang licin, sangat disarankan membawa jaket tebal serta sepatu gunung.",5
wisata sejarah,"berwisata ke gunung merapi seperti terbayang saat saat gunung itu erupsi, dengan jeep offroad drivernya bercerita tentang peristiwa itu, melewati tempat - tempat yang menjadi saksi, rumah yang hangus, bunker, dll.walau begitu pemandangan gunung merapi tetap saja indah untuk dinikmati...",4
Vieww merapihh,"Akhir bulan bingung mau cari tmpt foto dan wisata yg bagus dan gak nguras duitt banyakkk, alhasill maenlahh kami ke merapii lava tourr di sana kita bisa nyewa jeep bagi yang mauu, ala"" ovroad gitohhh,saya cuma rekreasi dann photoshoot aja di sini view nyaa kerenn bagi yg suka menyatu dengan alamm, banyak monyet juga disini ",5
tempat wisata yang seru,mengunjungi gunung merapi memberikan sensasi yang sangat luar biasa. merupakan gunung yang paling aktif di dunia tentunya memang sangat layak dan berkesan untuk dikunjungi.,5
Serunya lava tour,"Saya beberapa kali mengunjungu gunung merapi tapi tidak untuk hiking, namun melakukan perjalanan lava tour. Pertama kali sekeluarga mencari kendaraan jeep disekitar taman bermain, lalu kami nego harga. Sewaktu itu kami berlima dalam satu mobil mendapat harga Rp 350.000. Kami dihantar berkeliling semacam napak tilas bencana merapi yang pernah melanda kota yogyakarta dengan letusan gunung nya dan aliran lahar dan debu panasnya. Kami seperti merasakan saat itu sungguh mengerikan. Seru sekali karena jalan yang off road. Kami juga berhenti dibeberapa tempat seperti rumah yang rusak parah dengan barang-barang rumah tangganya yang rusak karena bencana tersebut dan lain-lain. Jika anda berkunjung ke yogyakarta, anda harus mencoba wisata lava tour ini.",5
Mengunjungi Kawah Gunung Mrapi,"Sensasi yang luar biasa, dengan menumpang jeep dengan kapasitas 4 orang dan pengemudi yang cukup sangat menyenangkan untuk wisata ke Kawah Gunung Merapi...",5
Perjalanan seru berbatu-batu,Seru perjalanan ke merapi ditempuh dengan menggunakan jeep dari desa umbul harjo. Menyewa jeep dari komunitaa jeep untuk perjalanan sampai ke bunker kaliadem sekitar 2 jam perjalanan dengan biaya 1.350.000 per jeep. Muat 4-5 orang. Driver nya cakap mengendarai jeep di jalan berbatu-batu dan sekaligus jadi guide.Berangkat pagi biar ga kepanasan di atas. Akhir pekan banyak yang berjualan makanan dan suvenir. Tp lebih nyaman di hari biasa tidak terlalu ramai. Siap2 bawa masker karena berdebu dan jas hujan buat main air di kali gendol sambil naik jeep. Seru abis basah-basahan. Jangan lupa bawa baju ganti.,4
lava tour joss,"sangat menegangkan dan pengalaman yang tak akan terlupakan, menjelajahi bekas letusan gunung merapi, tak terbayangkan keganasan nya saat meletus...kami sangat puas bisa menikmati lava tour dengan jeep di merapi.",4
Tour perusahaan,Petualangan seru bgt di gunung merapi. Banyak cerita/tragedi yg terjadi waktu gunung merapi meletus. Petualangan yg paling seru ketika melewati jalan2 yg ber kelok2 & terjal no mulus. Nyebur ke air pake hardtop. Dijamin g bakalan rugi deh! Pokoknya seru & keren abizz ke gunung merapi👍👍👍,4
gunung yang penuh misteri,tempat yang baik untuk di kunjungi banyak tujuan2 yang layak untuk di datangi. tidak komplit perjalanan ke yogya kalau tidak datang ke tempat ini.,5
Holiday,Saya beserta keluarga sangat menikmati paket tour (Lava Tour) yg paling berkesan adalah bermain air di sungai dengan jeep 🚙 yg membasahi sedikit baju kami sangat menyenangkan 🙏 semoga di lain waktu kami sekeluarga bisa kembali lagi ke tempat ini ..,5
wisata jeep untuk pencinta alam,untuk anda yang berjiwa petualang wisata jeep merapi sangat menarik untuk dicoba dengan suasana alam yang bagus dan memacu adrenalin,5
wisata Merapi buat pecinta petualangan,"buat yang muda dan berjiwa muda, coba tour jeep merapi, dijamin seru dan menantang kekuatan jantungmu.. buat yang lebih serius lagi, ngetrail sendiri juga wajib coba.Indonesia keren, Yogyakarta seruu",5
liburan besama bapak,liburan semerter diajak bapak ke musium lava merapi sungguh mengasyikan melihat sisa-sisa hewan dan rumah yang rsak terkena lahar panas,5
Camping bersama teman kuliah,"Medan di tempat ini medium dan anda harus mematuhi track yang benar. Semuanya akan berjalan lancar apabila anda dalam keadaan siap secara fisik dan mental. Apabila sudah mencapai puncak di situlah letak rasa puas, dan anda bisa menikmati sun rise yang sangat indah",3
Berpetualang Lava Tour Merapi,Sebelumnya saya ragu untuk wisata lava tour merapi bersama keluarga karena 2 anak saya masih kecil...tetapi setelah mencari info masalah safety saya teruskan niat saya ini... ternyata anak2 sangat enjoy sekali...berpetualang naik jip melewati kebun..sungai dan mengunjungi situs letusan gunung merapi merupakan wisata yang berbeda sekali bagi keluarga kami... sangat menyenangkan... saran saya jangan ambil yang paket rute pendek karena anda pasti menyesal..menyesal karena kurang lama berpetualang..he..he..he... Lava Tour Merapi.. Two Tumbs up,5
Maintenance yang kurang,"Sebagai museum yang bercerita tentang Gunung Merapi secara lengkap, seharusnya mendapatkan perhatian yang memadai dari Pemerintah, terutama soal perawatan. Namun terakhir kali mengunjungi lokasi ini, banyak bukti perawatan gedung yang tidak memadai, banyak kebocoran, dinding yang kusam dll",3
Outbound dan Jeep Tracking di lereng Merapi,"Outbound bersama Labiru Team di lereng merapi sangat menyenangkan, diajak untuk tracking dan melakukan berbagai game menarik utk menjalin teambulding. Suasana sejuk di lokasi lereng merapi sangat menyegarkan. Dilanjut dengan Jeep tracking menuju ke Pos Kopi Merapi, wajib bagi wisatawan utk menikmati kopi merapi disandingkan dengan Gorengan.Nikmat rasanya. Jangan lupa untuk mampir di spot2 wisata spt Batu Alien, Bunker Kaliadem,dll. Pilihan jeep tracking ada 3:pendek,menengah,panjang. Sesuaikan dg budget anda.",4
wisata yang cukup historical,"tidak hanya sekedar berjalan-jalan, tetapi juga mengetahui history dari tempat kejadian meletusnya gunung merapi.",5
Merapi Tour - Paket Jarak Medium,"Ketika kita menginjakkan kaki di bawah Gunung Merapi, sudah rapi berjejer berbagai pilihan jeep untuk disewakan. Rajinlah untuk mencari paket mana yang sesuai dan kondisi kendaraan yang cakep untuk difoto bersama anda..Kali ini kami memilih paket medium seharga Rp 450.000 dengan jarak tempuh 3,5 jam.Rute yang dipilih ; Museum Merapi, Bunker, Batu Alien, Stonehenge dan permainan air yang akan buat kita semua basah luar dalam... Overall, pemandangan oke,.. cukup bersih dan instagrammable..Hal yang harus diperhatikan :- Beli dan siapkan jaket hujan kalau ga mau terlalu basah.- Bawa akua dalam tas karena perjalanan jauh dan panas berangin.- Siapkan tongsis karena kadang penuh oleh para pengunjung, sehingga tongsis akan sangat membantu menciptakan hasil foto yang bagus",4
Menapaki Bekar Erupsi merapi,"Perjalanan sekitar 1,5 jam dari kota ke arah Utara. Perjalanan sangat mengasyikkan , nampak Gunung Merapi di depan mata. Menambah rasa penasaran dan tidak sabar untuk segera sampai kesana. Berkeliling sekitar Gunung Merapi dengan Jeep yang bisa di sewa di sana. Menapaki tempat-tempat dan Desa bekas erupsi Merapi.",4
Wisata Adventure,"Wisata yang luar biasa....Kearifan warga lokal yang begitu ramah, suasana alam yang ( walau ) sisa erupsi gunung merapi namun tetap memberikan sensasi berbeda dari tiap kali kunjunganYukk visit merapiAda obyek wisata terbaruuu loo",5
Mempesona....!!,Menerawang dari ketinggian puncak Gunung teraktif di Indonesia dan satu2nya Gunung yg sangat bersejarah di Yogyakarta dan merupakan salah satu kekuatan supranatural yg dimiliki Yogyakarta selain Kraton dan pantai Parangtritis dimana kesemuanya ini menjadi satu kesatuan yg tdk bisa terpisahkan dan merupakan benang merah titik kekuatan serta menjadi daya tarik Yogyakarta....Anda akan terpesona bila sudah mencapai puncaknya...dmn adrenalin Anda uji....,5
Mahakarya yang kuasa,disini kita bisa melihat betapa agungnya ciptaan kuasa . benar-benar mahakarya sang pencipta. ingin rasanya saya kesana lagi,5
Tour merapi pake jeep.. Ajippp deh..,"Setelah sekian lama g kesini.. Saya baru tau.. Kalo mau ke lokasi2 wisata..enakan pake jeep/motor trail kalo bisa.. Kalo saya ikut paketan yg naik jeep..posnya ada beberapa..jadi gampang dicari.. Per mobil ada paket 350 rb sama 450rb.(paketnya kemana aja bisa googling kok,lengkap)  Bisa diisi 2- 4 orang..enak bgt..tinggal duduk..disini pak sopirnya merangkap guide..jadi kalo mau tanya apa2 bisa..ramah juga pak sopirnya..Kalo kesini enaknya pagi jam 9/10an.. Soalnya lumayan lama durasi perjalanannya..saya mulai jam 11..selesai jam 3 sore lebih.. Lumayan lama kan..gak akan bosen deh..jangan kesini sore ya..takut ujan & terburu2..gak bisa puas keliling nya..kalo naik ke tempat wisatanya saran saya..jangan memaksakan naik motor atau mobil. Kasian kendaraan anda.. Medan jalannya terlalu banyak yg berbatu.. ",5
Unik,"Lava tour merapi bisa dilakukan menggunakan jeep dari Kaliurang. Ada beberapa paket, yang termurah paket short sekitar 2 jam harganya 400 ribu per jeep karena Desember adalah peak season. 1 jeep bisa diisi 4-5 orang. Siap-siap berpetualang karena jeep akan melewati jalan berbatu dan masuk ke dalam sungai. Kita akan dibawa mengunjungi rumah yang oleh pemiliknya dijadikan musium, berisi barang2 yang hangus akibat lahar panas saat erupsi. Selanjutnya mengunjungi bunker dan batu alien, yaitu batu yang mirip wajah manusia. Jeep bisa dipesan melalui hotel jika kita menginap di Kaliurang",4
salah satu ikon dari yogyakarta,gunung merapi merupakan salah satu gunung apling aktif di indonesia. kalau kalian suka naik gunung cobalah untuk naik gunung merapi karena trackingnya juga gak begitu susah dan usahakan kalian memakaii sepatu ya karena disini banyak pasirnya.,5
wisata naik puncak,"pengalaman saya menuju ke puncak merapi sangat lumayan melelahkan karna naiknya cukup menantang, namun ketika saya sampai di puncak lelah saya ter kuras habis dengan di suguhkan pemandangan yang indah dan mempesona",5
Pengalaman yang luar biasa,Dengan menyewa kendaraan Jeep dapat beroff road ria bersama keluarga dan anak saya umur 8 tahun sangat senang sekali dengan pengalaman yang luar biasa ini....,5
Seru dgn Suasana Petualangan,"Berkunjung ksini harus dgn naik wisata jeep merapi bisa memilih paket short dgn lama tempuh 1,5 jam ; medium dgn lama tempuh 2,5 jam dan paket long dgn waktu tempuh diatas 3 jam.... saya mengambil paket yg short dgn biaya 350 ribu permobil bisa diisi sampai 5 org mengunjungi desa terpendam dgn barang2 peninggalan saat letusan merapi terjadi, batu alien dan bunker tempat 2 org pengawas merapi terpanggang disana.... disarankan membawa topi kaca mata hitam....",5
pemandangan merapi yang mengesankan,"perjalanan ke gunung merapi melalui jalan kaliurang yang dingin, pemandangan yang sangat mengesankan bisa melihat puncak merapi di sore hari.",4
Exciting places,"Tempatnya sangat bagus, pemandangan alam yang mengagumkan dan kita bisa melihat musium kecil dari meletusnya gunung merapi. Bagus untuk berfoto.",5
Amazing trip,"Sewa Jeep rate 200k sd 600k tergantung paket yg dipakai... menyusuri jalan yg terjal melihat kondisi rumah penduduk yang terkena awan panas, sampai ke kaki gunung merapi pemandangannya indah. Lanjut track ke sungai ini yang paling seruu... ",5
Liburan dengan Jeep tour ke Merapi,"Sudah niat banget pengen naik Jeep tour ke merapi, sesampai di provider jeep kami memilih rute medium..wow memang seru dan dijamin gak ngantuk , karena medan yang ditempuh jeep itu..jalan turun, naik, agak miring kanan or kiri..cukup seru untuk anak2 diatas usia 8 tahun..kebetulan kami membawa anak usia 13 dan 5 tahun..yang mana si kecil langsung minta dipangku karena goncangannya asoy.hahaUntuk pengalaman sangat bagus..kita naik sd bungker yang mana bungker . Karena saat itu liburan sekolah , bisa ditebak keramaian yang ada...seru sekali",4
Petualangan seru,"Pakai lava jeep tour, dengan harga 400 ribu per jeep yang muat 5 orang dewasa. Jalan yang dilewati off road, dan benar2 seru petualangannya. Sampai di titik tertinggi di Bunker kaliadem pemandangannya menakjubkan asalkan tidak tertutup awan. Kendalanya hanya jika hujan turun.",4
Melihat desa yang ditutup,Sewaktu saya berkunjung ke kaki merapi yaitu desa di mana temoat tinggal mbah Roso pria tua yang di percayakan oleh makhluk halus Penjaga merapi saya melihat desa yang tidak boleh dijamah. Dari kuar saja sudah beda sekali auranya... Desa itu dekat dengan rumah mbah roso. Disana banyak sekali tujuan untuk melihat alam di sekitar merapi. Tapi saya lebih takjub melihat rumah mbah roso yang di jadikan musium alami. Benda2 yang terkena abu panas di biarkan di sana dan sangat mengerikan tetapi saya sangat penasaran ... Benar2 hati dag dig dug disana... Jangan khawatir karena ada yang menjaga di sana :),5
