"","judul","rating","review"
"220","Wisata Merapi dengan Jeep",5,"dari perjalanan ini kami belajar untuk menjadi lebih ramah pada lingkungan tidak memandang sebelah mata akan tandatanda alam dan belajar untuk lebih mendekatkan diri pada sang khalik wisata gunung merapi ini benarbenar seru arus dicoba memacu adrenalin juga menambah pengetahuan dan tingkat keimanan"
"221","Extreeme",5,"ke merapi menggunakan jasa tour jeep bener bener pengalaman baru yang seru  melewati jalan berbatu dan berliku untuk menuju ke sana  singgah di tempat sejarah terjadinya erupsi pokoke amazing"
"222","serunya menjelajah merapi",5,"perjalanan yang begitu menyenangkan dengan jeep sekaligus mempelajari gunung merapi dengan letusannya sekaligus juga menikmati kesejukan dan pemandangan alamnya meski saya datang saat musim hujan jadi harus rela berbasah kuyup"
"223","Explore Merapi Pakai Jeep",5,"pengalaman ber off road yang mengasikkan dengan selingan keterangan tempat tempat bersejarah  setelah meletusnya merapi yang unik beberapa membuat kita lebih mencintai dan menghargai alam untuk paket paket explore dengan jeep ada tiga macam paket ada yang  jam  jam atau yang  jam untuk pengalaman yang lebih mengasiikan disarankan untuk datang lebih pagi"
"224","Liburan",4,"naik gunung merapi pake mobil jeep yang seru guide yang ramah pengalaman ke kediaman mbah maridjan  rame rame lebih seru pemandangan yg menakjubkan"
"225","Merapi, Riwayatmu kini",5,"setelah meletus kharisma mu semakin mengagumkan maha kaya negeri kuterdapat wisata baru di merapi yaitu  jejak meletusnya merapi di mana kita dapat menginap di sekitar area tersebut dengan harga penginapan yang lumayan murah sekitar rp sd rp per malam juga di sediakan jeep yang akan membawa kita menikmati keindahan merapi pasca meletus di tahun "
"226","pengalaman berbeda",5,"kali pertama saya ke gunung merapi bagus sekali pengalaman menaiki wd untuk ke atas sehingga ke bunker pemandu wdnya juga tidak lokek berkongsi kisah saat gunung meletus"
"227","Pemilik Jogja",5,"inilah sang pemilik jogjakarta gagah dan bijaksana ketika melihat sang merapi ini tidak pernah bosan untuk mengunjungi salah satu ciptaan tuhan yang maha hebat"
"228","Mengejar Sunrise",4,"agar dapat menikmati merapi saat sunrise baiknya menginap di daerah merapi pukul  kita akan berangkat naik jeep menuju merapi setelah sampai di kaki merapi dan mengunjungi bunker kita akan diajak berkeliling situs di daerah merapi cara menikmati pagi hari di jogja yang patut dicoba"
"229","Wisata gunung merapi",5,"saat tamasya ke kaliurang saya ditawari untuk wisata gunung merapi mengunjungi tempattempat bekas lahar gunung merapi dan jejak dari awan panas wedus gombel kita jug bisa melihat rumah mbah marijan yang terkenal dengan mengendarai jeep hardtop walaupun kuno tapi nyaman pokoknya asyik dehhh"
"230","Wisata bekas letusan Gunung Merapi",5,"wisata ke bekas letusan gunung merapi dengan mengendarai jeep jadul sangat menyenangkan di sepanjang jalan melihat alam yang masih alami sampai di museum gunung merapi disana melihat bekas letusan gunung merapi yang meluluh lantahkan desa banyak puing bekas terkena lahar dingin ada beberapa foto waktu terjadinya gunung meletus"
"231","Wisata Alam yang menantang",4,"sudah lebih dari  kali saya berkunjung ke merapi bisa sebagai wisatawan umum tour guide atau pendaki gunung yang paling seru adalah lava tour kalisuci dan trekking di beberapa tempat menantang lainnya yang paling menegangkan adalah mendaki ke puncak garuda karena memang saya baru sekali itu mendaki gunung banyak tersedia warung  warung sebagai pelepas lapar  dahaga"
"232","Pemandangannya Amazing",5,"ga pernah tau kalo merapi sebagus itu kemarin naik jeep lavatour sempat mampir ke museum batu alien dan bunker makin ke atas makin indah dgn jalan berbatu dan cuaca yg sejuk"
"233","Cerita Dibalik Letusannya",4,"sejak meletusnya gunung yang menjadi ikon jogja ini banyak tempat yang dulu menjadi saksi bisu meletusnya gunung merapi kini menjadi tempat wisata yang populer seperti lava tour tempat petilasan mbah maridjan atau hanya sekedar ingin menikmati sejuknya udara pegunungan"
"234","Wisata Kaki Gunung Merapi",4,"gunung merapi kini memiliki pemandangan unik setelah letusan dahsyat pada tahun  pastikan untuk menggunakan sewa jeep lava tour untuk melihat lihat bekas erupsi gunung merapi"
"235","Gunung yang luar biasa",5,"kami mendaki gunung merapi melalui basecamp new selo boyolali gunung merapi dapat di tempuh pulang pergi berangkat dari basecamp sekitar jam  pagi untuk mengejar sunrise di pos  atau pasar bubrah perjalanan dari basecamp sampai pasar bubrah sekitar jam dan semua jalan nya terus mendaki jika masih punya nyali dan tenaga dapat naik ke puncak merapi yang lumayan sukar karena pasir dan berbatu puncak nya sangat sempit karena sekitar  dari gunung tersebut sudah hilang akibat dari erupsi di sarankan hatihati dan memakai sun block karena tidak ada vegetasi sama sekali sejak di pos  sampai puncak"
"236","Lava tour",5,"wisata di merapi ini salah satu yang juga wajib di lakukan jika berada di jogja  dampak dari letusan gunung merapi beberapa tahun silam dpt kita lihat ketika kita melakukan lava tour ini selain itu juga kita bisa berziarah ke makam mbah marijan"
"237","wisata jeep jadul",4,"merasakan sensasi di rute lelehan lahar dan pasir hasil dari erupsi gunung merapi sungguh luar biasa ini jenis wisata yang harus anda coba karena sangat unik dan terkesan eksklusif jangan lupa rasakan juga sensasinya menjelajah medan di sekitar menggunakan motor trail dijamin memorable"
"238","Lumayan seru",4,"seru dan masyarakat yg kratif mantapanak kecil juga bisa tetap amanwalaupun tempat yg dikunjungi merupakan kreatifitas masyarakat tapi view nya keren"
"239","Gunung merapi tour dan mbah marijan",5,"gunung merapi tour merupakan objek wisata yang juga harus dikunjungi atau to do list anda bisa mencapai dekat gunung merapi ini dengan menyewa jeep yang sudah disediakan dengan kapasitas  dewasa atau dengan kasus saya dewasa dan  anak kecil dalam satu jeep biaya jika ga salah k siap siap topi dan kacamata serta masker walau debu vulkanik sudah berkurang siap siap pula perut berguncang guncang karena areanya benar benar membuat kita harus berpegang erat tapi luar biasa pengendara jeep biasanya piawai memfoto kita dan tau angle yang bagus dan juga pengendara jeep skaligus guide kita utk merapi tour ini juga kita bisa mengunjungi makam mbah marijan dan area terkenal yang direndam oleh lava merapi"
"240","Merapi Vulcano Adventure",5,"cocok untuk adventure keluarga tanpa anak kecil saat ini situasi lebih hijau dari  tahun lalu kami beradventure disini track nya juga lebih ringan"
"241","Asyik",5,"jika real refreshing inilah tempatnyadingin sudah pasti nyaman apalahpemandangan aduhai dehpokok cocok bangat buat jogging atau sekedar ingin relaxpenginapan di kaliurang relatif murah resto jg murahmalam sgt sunyi"
"242","Sangat menyenangkan",5,"ini kali ke  saya mengikuti lava tour merapi buat saya ini wisata yang harus dilakukan saat anda berkunjung ke yogyakartadisini kita tidak hanya dapat melihat sejara meletusnya gunung merapi tapi juga bisa bertualang dengan off road disekitaran merapisangat mengesankan dan tak akan terlupakan"
"243","Trip the volcano",5,"kembali ke sini adalah sebuah kenangan gunung dengan kawah aktifnya gunung yang banyak bercerita melintasi gunung ini dengan jeep merupakan petualangan tersendiri adrenalin pasti terpacu"
"244","Pemandangan yang indah",5,"saat tiba disana cobalah untuk menyewa sebuah jeep agar bisa mengelilingi merapi  jalir yg agak terjal membuat seru perjalanan anda akan merasakan sensasinya sendiri sulit diungkapkan dengan kata keindahannya"
"245","trip ke lereng selatan merapi,",3,"pertama kali kemari wektu praktek sekolah dikenalkan perbedaan ekosistem menurut ketinggiankali kedua dan selanjutnya saya sering ke lereng selatan merapi terutama di bebengya pasti sebelum bencana awan panas pertama dan kedua waktu meninggalnya mbah marijan dan menurut saya masih menarik untuk dikunjungi terutama oleh para pencari ilmu regenerasi tumbuhan pasca erupsi"
"246","Uji Nyali di Gunung Merapi",5,"gunung merapi ini setinggi  mpdl gunung merapi ini terletak di jogjakarta jalur pendakiannya sekarang hanya bisa dilewati dari jalur selo boyolali karena jalur selatan kinahrejo setelah erupsi  dilarang dilewatijalur pendakiannya lumayan panjang dan begitu sampai pasar bubrah maka sebatas mata memandang hanya pasir dan batu seperti halnya di gunung semeru dari arcopodo hanya pasir dan bebatuan jika kondisi normal puncak merapi kita bisa mendaki sampai puncaknyapencapaiannya puncak merapi inilah yang menjadi nilai tersendiri"
"247","Udara segar 1 jam dari Yogya",4,"perjalanan yang menarik di mana kita dapat melihat bekas letusan gunung berapi di museum letusan gunung merapi wisata petualangan dengan jeep atau motor trail dan tentunya udara segar"
"248","Merapi trip",5,"perjalanan yang sangat menguji andreanile dengan jeep kekuasaan tuhan maha dahsyat desa dengan berbagai kehidupan luluh lantak ole wedus gembel merapi"
"249","Ditumbuhi Tanaman Rotan pasca erupsi",5,"pasca erupsi gunung merapi sekarang banyak ditumbuhi tanaman rotan dan beberapa jalan yang dulunya bisa di kendarai dengan mobil sudah tidak bisa dilewati"
"250","Jeep lava tour merapi",5,"wisata didaerah gunung merapi kini menawarkan jeep lava tour dengan budget rp  anda sudah bisa menikmati wisata adrenaline ini"
"251","Gunung Brapi",4,"a wonderful experience mengelilingi merapi dengan jip melawan hempasan angin dan goyangnya bebatuan membuat kami semakin menggila diatas jip  ditambah lagi dapet supir jipnya gokil "
"252","Raksasa yang tidur dengan anggunya",5,"siang terik menyengat seluruh penjuru kota jogja kupacu kendaraan ke arah utara kota budaya nan exotic ini menuju gunung yang hampir enam tahun lampau bangun dari tidur panjangnya masih tergambar dengan jelas situasi saat itu semua luluh lantak diterjang ganasnya awan panas dan aliran lahar dingin kini setelah enam tahun rasa rindu menggelayut ingin mengulang masa indah seperti sebelum sang raksasa murka lereng nan hijau penduduk yang ramah tak bisa lepas dari kehidupan seharihari di daerah kaliurang maupun kaliadem nggak perlu waktu lama dari ring road utara untuk menuju kaliurang dari udara terik kota jogja akhirnya kurasakan udara sejuk khas kaliurang setelah membayar tanda masuk yang sangat murah ku arahkan kendaraan menuju tlogo putri di kanan kiri masih banyak terdapat villavilla yang setiap saat bisa disewa untuk menginap dengan harga terjangkau akhirnya sampai juga kami ke tlogo putri ternyata lokasi ini tetap menjadi primadona bagi masyarakat yang ingin merasakan udara sejuk kaliurang kerusakan akibat erupsi merapi  sebagian sudah mulai di perbaiki tetapi pohonpohon yang tumbang sebagian di biarkan pada posisinya sebagai bukti nyata bahwa daerah ini pernah di terjang ganasnya erupsi merapi kita bisa bercengkrama juga dengan hewan khas kaliurang yaitu kawanan monyet yang setiap saat setia menunggu pengunjung untuk memberikan sekedar sedikit makanan ke mereka karena habitat mereka di puncak belum pulih setelah erupsi merapi disini pengunjung harus hatihati terhadap barang bawaan karena kadan kawanan monyet itu agak nakal dengan mengambil barang bawaan pengunjung untuk sekedar mencari makan kondisi alam dan lingkungan boleh berubah tetapi satu yang tidak berubah keramahan masyarakat kaliurang tetap terjaga degan baik membuat kita betah untuk berlamalama disana sambil sekedar menikmati secangkir kopi atau teh dan ditemani jadahuli dengan lauk tempe bacem yang mak nyosmantab sekali terbayar sudah rasa kangenku di kaliurang setelah rasa penat setelah berkendara dari kota jogja terobati kudekati salah satu kendaraan jeep yang sedari tadi mondarmandir di area parkir tlogo putri ternyata mereka menawarkan adventure menuju kawasan kaliadem dan sekitarnya dengan mengendarai jeep pas sekali kataku dalam batin ku ajak seluruh anggota keluargaku yang kebetulan kami berempat jadi pas dengan kapasitas jeep yang akan kami sewa setelah ada kesepakatan harga akhirnya kami berangkat menuju kawasan kali adem kini terlihat jelas dasyatnya erupsi merapi pada saat itu kanan kiri kami masih banyak kami dapati bekasbekas rumah penduduk yang saat ini menyisakan bagian pondasi saya serta puing puing yang mereka sebut vosil baik itu dari kendaraan perabotan rumah tangga ataupung tulang belulang hewan piaraan yang mati pada saat itu kelokan jalan tanah yang melewati bekas aliran lahar dingin menambah tantangan tersendiri bagi kami di temani pak sopir jeep yang sedari tadi menceritakan tentang merapi dan kejadian pada saat itu di tambah dengan sedikit lawakan lucu yang membuat kami terpingkalpingkal dan kadang dengan nakalnya dia membawa kami kearah sungai dengan kecepatan yang cukup tinggi sehingga air menyiram badan kami tapi kami sangat puas dibuatnya setelah semua rute dilalui kami kembali ke titik awal yaitu tempat parkir tlogo putri akhirnya kami menyadari bahwa erupsi merapi saat itu benarbenar dasyat tetapi di balik itu semua merapi kini tetap menunjukkan keanggunannya yang selalu menarik insan untuk berkunjung kepadanya setelah puas di kaliurang kami memutuskan untuk turun namun kami masih menyisakan rasa kangen dangan sesuatu yang khas dari kaliurang yah kami masih kangen dengan jadah mbah carik tepatnya warungnya berada di bawah patung udangurang hampir kami kalap ingin memborong jadah plus tempetahu bacem khas mbak carik yang melegenda namun karena pengunjung ramai terpaksa kami harus berbagi dengan mereka selamat tinggal kaliurang selamat tinggal merapi kami akan datang lagi suatu saat nanti kami rindu udara sejukmu kami rindu hijaumu kami rindu indahmu kami rindu hangatnya sambutan masyarakatmu"
"253","Pemandangan yang indah",5,"pemandangannya indah bagus buat foto untuk kesana perlu sewa jeep bisa banyak melihat bekas letusan gunung merapi"
"254","Paket OffRoad Yang Menantang",5,"ambil paket yang sort time saja jangan terkecoh dengan paket long hours karena banyak berhenti dari jalannya"
"255","gunung api aktif",5,"menuju ke objek wisata ini bisa dari berbagai penjuru salah satunya dari arah jalan kaliurang trus ke atasdisediakan pula jalur pendakian yang aman serta pemandu wisata bagi yang menginginkannya"
"256","harus pergi ...",4,"banyak pemandangan yang luar biasa menakjubkan kalau anda bawa oarang tua bilang ke supir nya pelan pelan makan akan di bawa lewat jalur yang aman"
"257","OFF ROAD YG MENGESANKAN",5,"kami ber berlibur menuju objek gunung merapisemula kami hanya lihat gunung nya z dr kejauahannampak seperti nga asyik klw main ke sini tapi setelah di tawarin naik mobil jeepkami kaget mau ngapain y kami coba naik jeepternyata asyik banget melewati jln berbatu serta lumayan terjalbanyak sekali tempat yg menjadi saksi bisu meletusnya gunung inisubhanallohbegitu dahsyatnya kejadian itusambil naik jeep kami terkagum melihatnya pemandangan yg begitu indahada batu alien ada banker yg merenggut nyawaserta kampung mbah marijanmerinding mendengar cerita nyaini lah off road yg sangat menyenangkan bagi kmsy pengen kembali lg ke sana"
"258","Belajar tentang volcano",4,"merapi sebagai gunungapi teraktif di dunia menyajikan kenampakan geografis yang menakjubkan jika ingin mengunjungi merapi dan menelusuri sejarah erupsi bisa langsung ke lava tour jika ingin tahu tentang keilmugunungapian jangan sungkan untuk mengajak mahasiswa kebumian ugm"
"259","merapi dan jogja",4,"salah satu gunung berapi yang masih aktif di yogyakarta melihat guung ini saat mengikuti lava tour meningglkan kesan tersendiri pengalaman yang menyenangkan melihat merapi dari dekat"
"260","sangat bagus sekali pemandangan gunung merapi",5,"setelah mengalami erupsi kini sekitar gunung merapi sdh sangat indah bahkan lebih indah dari sebelum terjainya erupsi"
"261","INDAHNYA ALAM GUNUNG MERAPI",4,"salah satu tempat bagus disana terdapat sebuah fakta fenomena alam yang saya benar melihatnya yaitu ex rumah mbah maridjan sosok yang dikenal sebagai juru kunci gunung merapi disana dirumah ex mbah maridjan banyak terdapat saksi bisu ganasnya gunung merapi dan disana mengajarkan saya betapa manusia tidak ada apaapanya bila berada dialam atau boleh dibilang tidak boleh sombong tuhan maha besar"
"262","Merapi terlihat anggun dilihat dari Ketep Pass",4,"gunung merapi selalu menarik walaupun sering mendatangkan bencana keanggunan gunung merapi dapat dilihat dari ketep pass yang berlokasi di kaki gunung merbabu ketika cuaca cerah gunung merapi terlihat jelas seolaholah dapat dijangkau oleh tangan lava pijar yang meleleh di puncaknya terlihat jelas untuk mencapai ketep pass dapat menggunakan kendaraan bermotor dari arah blabak magelang atau dari arah kopeng salatiga menikmati keanggunan gunung merapi dari ketep pass sangat aman mudah dicapai dan merupakan obyek wisata keluarga"
"263","gunung api jawa",4,"sebagai salah satu titik sumbu jawa gunung yang berikan kesuburan pada masyarakat sekitarnya sangat indah dan menyegarkan ada ragam objek di sekitarnya"
"264","Kembali ke alam",5,"sisi lain dari gunung merapi bisa dilihat dari sini dengan menggunakan jeep bisa keliling ke tempat bersejarah di sekitar lereng saat erupsi  lalu udaranya yg dingin cocok untuk menghilangkan penat dari hingar bingar kota ada kunjungan k museum sisa hartaku banker batu wajah dan juga bekas rumah mbah marijan waktu keliling selama  jam"
"265","First time",5,"menantang sepanjang perjalanan berangkat jam  pagi subuh dingin demi sunrise sebanding dengan usahanya ke sana bagus bener view yang ada di gunung merapi"
"266","best of the best di yogyakarta harus kesini terutama jeep adventure lava merapi mantap",5,"untuk yang berwisata ke yogyakarta patut ikut jeep adventure merapiselama  jam anda akan dibawa off road mengitari jalur lava merapimantab"
"267","Batu...",3,"saya mendaki merapi pada bulan oktober saat itu sedang musim kemarau dan pancaroba gununggunung di indonesia hutannya beberapa terbakar karena mengalami kekeringan sehingga jumlah yang melakukan pendakian gunung berkurang butuh waktu  jam bagi kelompok kami untuk tiba di tempat camp yaitu pasar bubrah waaw ini pendakian yang tidak mudah karena saat itu pendakian sedang sepi tanah sangat kering dan di malam hari angin bertiup cukup kencang hal tersebut karena di merapi pohonpohon tidak terlalu lebat bahkan mendekati pasar bubrah hanya ada bebatuan kering sehingga angin yang bertiup kencang membuat pasirpasir berterbangan mengganggu penglihatan kami saya bahkan menutup mata saya hampir  dan membuat rombongan kami menjadi terpecahpecah karena sulitnya jarak pandangsaat di pasar bubrah hanya terdapat beberapa tenda pendaki ya sepi suhu udara di sana tidak terlalu dingin karena sedang kemarau namun kami kesulitan mendirikan tenda karena tidak ada tanah untuk menancapkan pasak di sana semuanya batutapi menjelang fajar sangat luar biasa  kalian harus saksikan sendiri hehesayangnya pendakian gunung merapi hanya boleh sampai pasar bubrah mendaki hingga ke puncak merupakan pelanggaran aturan karena berbahaya dan satu lagi kami kesulitan mencari tempat maaf buang air di sana karena tidak ditemukan semaksemak hehe saran bagi yang ingin mendaki merapi bawalah kacamata pelindung dari debupasir serta masker dan utamakan keamanan serta lebih bagus saat kemarau musim panas selamat mendaki merapi "
"268","Gunung Adventure yang menantang",4,"untuk mencapai daerah wisata merapi kita harus menggunakan jeep khusus yang bisa off roaddari lokasi wisata kali urang yogya sudah banyak yang menawarkan wisata gunung merapi waktu yang baik adalah sunrise jam  pagi kita sebaiknya sudah menunggu jeep kepuncakdisana nanti mampir ke museum lava untuk melihat peninggalan yang tergerus lumpur dinginrekomended"
"269","Off road merapi",5,"seru banget off road ke merapi naik jeep menantang banget dan memacu adrenalin pesona alamnya pun membuat saya selalu bersyukur akan ciptaan tuhan"
"270","Amazing Hiking !!!",5,"disarankan untuk orangorang yang memang mencintai alam dan berfisik sehat jalan pendakian yang curam membuat sensasi tersendiri untuk mendaki gunung ini"
"271","explore the vocano",4,"menikmati suasana gunung merapi yg tandus setelah meletus menambah tantangan ke area yang rawan sangat menarik menggunakan jeep berkeliling sekitar kawasan gunung merapi dan napak tilas dari setiap tragedi yg pernah terjadi"
"272","Off Road ke Kaki Merapi",4,"saya sangat menikmati off road menggunakan jeep willis melihat pemandangan di sekitar kaki merapi bisa merasakan apa yg terjadi pada saat merapi meletus bagus banget deh"
"273","Berkesan",4,"salah satu gunung berapi yang masih aktif di indonesia keberadaannya menjadi sisi historis yang tidak  bisa dipisahkan dari kota yogyakarta sarat dengan unsur budaya jawa dimana letaknya dijadikan salah satu penunjuk arah jika anda berada di yogyakarta dan sekitarnya"
"274","Gunung dengan keunikan tersendiri",5,"pengalaman yang berbeda saat menjelajah lereng merapi dengan jeep dimana selain dapat menyaksikan pemandangan yang indah juga merasakan sensasi offroad di jalan bebatuan terjal"
"275","wisata merapi",3,"kerennnn menantang bagi yang suka beradrenalin jalan kaki naik ke merapi menyusuri lereng gunung dan menggapai puncak garuda saat itu nikmat tiada tara"
"276","Sempatkan Mengunjungi Bekas Kediaman Mbah Maridjan",5,"jalan ke arah gunung merapi cukup menantang dan banyak sekali wisatawan yang menggunakan jeep untuk melihat merapi saya tidak sampai mengunjungi gunung merapi dan hanya mendatangi bekasi kediaman mbah maridjan di kaki gunung merapi di tempat ini anda akan melihat jejak dan bekasi erupsi serta cerita sejarah letusan gunung merapi beberapa tahun yang lalu pada saat saya mendatangi tempat ini turun hujan cukup deras namun akhirnya bisa kesampaian juga melihat gunung merapi meskipun dari jarak jauh"
"277","Merapi Tak Pernah Ingkar Janji",5,"meski sudah pernah menapaki puncak garuda mt merapi tapi saya rela kembali lagi untuk menemui mt merapi track untuk menuju kesana sangat menanjang belum lagi dari pos pasar bubrah menuju puncak garuda yang sangat berat dengan medan berpasir dan kemiringan yang curam namun puncak menawarkan pesona yang indah lengkap dengan lautan awan"
"278","Seru dan menantang",4,"wah rasanya seru banget naik jeep ikut lava merapi tourmembayangkan bekas letusan gunung merapibungkerdan batu aliensepanjang jalan serukayak berpetualangpemandunya juga baik dan ramahhelper bangetpengalaman tak terlupakan"
"279","Keindahan yang bisa berubah",4,"suasana alam dan penduduknya yang ramah ditambah acaranya yang murah tapi tetap asyikke jogja kalau tidak kesini bakal menyesal nantinya jangan lupa sempatkan mampir gia jepang "
"280","Keren",4,"naik jeep ada macammacam paket pilihan mulai harga rb rb dst untuk tipe sedang perjalanan jam kita bisa ambil paket sedang termasuk bungker jarak km dari kawah namun tidak termasuk ke makam mbah marijan wisatawan dari jogja bisa ambil jalan kaliurang dan belok ke arah kali adem lalu ambil arah lurus ke atas jangan ambil arah solonanti disana masuk bayar tiket naik lagi sekitar km terdapat tempat parkir yang paling atas setelah itu kita beli lagi tiket jeep merapi lava tour  jeep bisa muat untuk  orang termasuk supirdisana kita akan tau lebih dekat betapa dasyatnya awan panas pada saat erupsi gunung merapi seru"
"281","Lava tour merapi",5,"lava tour merapi ke dua yang saya kunjungi bersama tim kantordiawali dengan mengunjungi kaki gunung merapi jangan lupa makan indomie yah dan jangan lupa foto loncat disana yah dibatu alien foto sampul novel  cm musium merapi dan terakhir maen air dijeep yah disungai kuning very recommendeduntuk tour guide saya rekomendasikan menggunakan mgm adventure dengan mobil wilisnya karena drivernya mempunyai tmpt strategis buat foto dan sangat serumaen air dijeep sepenglihatan saya tour guide lain tidak seseru mgm saat main diair"
"282","Wisata alam yg menarik dan cukup membuat merinding",3,"wisata merapi ini cukup menarik sekaligus merinding membayangkan kejadian wktu itu apalagi pas diajak masuk kedalam bekas bunker terasa sekali seru sih"
"283","when you come to jogja, it is must",4,"wisata di gunung merapi ini sebenarnya diangkat karena bencana alam yang terjadi berupa letusan gunung dan menjadi minat khusus bagi para wisatawan disini kita harus sewa jeep atau motor karena jalanan yang dilewati tidak memungkinkan dengan mobil biasa lebih seru sih pakai jeep kalau jeep ada  route dan harga nya beda kemarin saya sewa yang short trip rb rupiah itu durasi  jam tempat yang dikunjungi ini ada museum bekas peninggalan bekas letupan gunung merapi ada batu alien dan yang terakhir banker kalau rute yang panjang tempat kunjungannya juga  nambah lagi semoga bisa membantu ya ulasann saya"
"284","Wisata alam yang kerenn",4,"ketenaran gunung merapi tentunya sdh sangat diketahuinamun melihat secara lebih dekat keberadaan gunung tersebut tentunya menjadi cerita tersendiridari kejauhan kita sudah bisa melihat indahnya gunung tersebut dibalik sejarah dan keangkerannyabisa menggunakan jeep rental untuk berwisata menikmati keindahan gunung keramat ini"
"285","Menakjubkan",5,"ditemani jeep menuju rumah penduduk yang telah menjadi sebuah museum karena sisa sisa terjadinya letuan merapi"
"286","pemandangan yang sangat memukau",4,"saya beserta teman teman ditawarin wisata memakai jeep dan memuat  sampe  orang  seru banget diperjalanan menuju daerah bekasnya meletus dan pemandangannya sangat memukau  tarif harga jeep harus bisa nego biar bisa di kasih harga diskon  sekarang pohon pohonnya sudah mulai tumbuh lagi setelah dulu kena panasnya abu vulkanik  jgn lupa bawa camera buat diabadikan tempat demi tempat di sungai sungai juga bagus pemandangannya yg pas dilewati jeep "
"287","Gunung yang Mengundang Decak Kagum",5,"saya ke gunung merapi tanggal  februari saya pergi dari jam  wibmenggunakan kendaraan roda empat terbuka untuk foto dan berkunjung ke bungker museum merapi batu alien dan sedikit off road di sungai berbatupengalaman yang indah"
"288","Salah satu kemegahan ciptaan-Nya",4,"berlokasi di utara jogja dan klaten gunung merapi menyimpan byk skli objek wisata didalamnya bisa kita ambil contoh lava tour dimana kita bisa naik diatas mobil jeep utk naik ke atas merapi daerah bebeng  kaliadem bisa jg kita nikmati dgn cara kita naik motor trail menyusuri jalanan berbatu bekas letusan gunung merapi yg terakhir yg pastinya akan memberi pengalaman lebih didalamnya ada lg dgn cara bersepeda downhill start kita ambil dr klangon pass menyusuri jalur singletrack yg berada di kanan kiri jurang perjalanan turun kebawah bisa dilanjutkan mungkin menuju candi prambanan atau menuju daerah sleman dimana disana bisa kita temui byk sekali penjual salak lsg dr bbrp kebun mereka paket wisata lengkap deh pokoknya tp sebisa mungkin membawa mobil transport yg kondisi mesinnya terawat dan ground cleareancenya agak tinggi krna byk dijumpai jalan penghubung yg kondisi jalannya rusak"
"289","Liburan ke Lereng merapi",3,"liburan ke yogya kurang lengkap klo gak ke merapi klo kesini jam  siang ke bawah soalnya puncaknya masih kelihatan klo sudah jam  keatas sudah ketutup kabut enak banget buat liburan sama pasangan loh"
"290","Dingin dan Menyegarkan",5,"liburan saat musim panas paling cocok ketempat dingin gunung merapi sangat cocok untuk melihat sunrise dan sunset"
"291","Merapi api!!!",5,"wisata keliling merapi seru bangett ditambah lagi kita kelilingin merapi pake jeepao makin nambah seru petualangan di merapi ngeliat kondisi daerah sekitar merapi pasca letusan dan liat bungker bekas letusan merapi jadi bikin imajinasi ini jalan bgt ketika dahsyat nya merapi pas meletus"
"292","wisata merapi",3,"di sini kita dapat berkunjung ke bekas rumah mbah marijan di kinahrejo dan menikmati segarnya alam pegunungan yang masih alami"
"293","Gunung yang Indah",5,"gunung merapi gunung paling aktif di indonesia ke merapi haru siap dengan resiko yang akan muncul trek merapi sangat terjal tapi percayalah indahnya sangat luar biasa"
"294","LAVATOUR.... yuhuuuuuu....",5,"kami sekeluarga berkunjung ke lavatour lereng gunung merapi langit cerah menyambut kedatangan kami pohon hijau segar di sepanjang perjalanan  dengan menyewa mobil jeep  driver kami dibawa menyusuri desa yang ditinggalkan penduduknya karena erupsi terlihat sisa reruntuhan rumah penduduk yang membuat kita miris mengingatnya kami diajak mampir ke museum kecil tempat disana masih banyak barang rumah tangga yg rusak karena dampak lava panas setelah itu kami berphoto di batu alien batu basar yg keluar dari perut bumi tidak ketinggalan ke bunker dimana pada saat kejadian ditemukan pendaki yg tewas didalamnya thanks mas mas yang mengantar kita perpetualang karena sudah menceritakan secara detail  bravooooo"
"295","Naik motor traker",4,"wisata alam gunung merapi seru dengan menyewa motor traker ke bekas perumahan mbah marijan ngeri juga membayangi saat terjadi erupsi dilokasi bekas rumah almarhum mbah marijan ini panorama alamnya memang indah dan udaranya dingin"
"296","Mau santai",3,"rencananya mw santai liat gn merapiga taunya smpai disana disambut hjn deraslm nunggu hjn sampai jam sore saya baru bs ngeliat merapi melalui teropong pandangblm lm liateh ternyata hjn trn lgterpaksa deh saya kembali kehotel"
"297","Hiking ke gunung merapi",4,"degdegan sekali untuk naik gunung yang sangat di cintai oleh masyarakat jogja ini berdiri dengan gagah di utara kota jogja perjalanan kesana menaiki motor di tempuh dengan waktu kurang lebih  jam kalo saya ngga salah inget sepanjangan perjalanan yang paling seru saat summitnya karena benar benar mendaki gunung yang curam dengan track yang cukup berat bagi saya overall keren tapi dari basecamp sampe pos pasar bubrah perjalanan belum sulit kok jadi patut untuk di coba perjalanan ini yang cukup menantang banget"
"298","Wisata alam",5,"sangat asri terdapat beberapa obyek wisata alam atau edukasi seperti tlogo putri taman kanakkanak sejuk sangat ramai saat liburan rekomen untuk dikunjungi"
"299","Advanture merapi",5,"dengan menyewa jepp saya dan teman sangat puas advanture wisata merapi melihat sisasisa merapi meletus mampir dan berfoto di batu alien meliat jalur larva   dan alhamdulillah saat kesana cuaca sangat cerah sehingga perjalanan saua tidak terhambat dan saat itu puncak merapi sangat terlihat jelas dengan garangnya berdiri"
